ID,Nome,Gênero,Idade,Raça,Endereço,Formação,Estado,Tempo de Casa,Departamento,Senioridade,idade_inicio
1,Eleonora Arilda Penedo Gomes de Padilha,Feminino,34,Pardo,9155 Harold Oval; Sellersside; FL 21337,Ensino Médio,Santa Catarina,12,Compras,Analista Pleno,2
2,Elisângela Gabrielle de Osório,Feminino,26,Pardo,941 Martin Manor; Lake Isaiahtown; FM 43797,Ensino Médio,Pará,6,Contabilidade,Analista Júnior,2
3,José Túlio de Cabral,Masculino,35,Pardo,110 Davis Ridges; Mejiaville; LA 17095,Ensino Médio,Santa Catarina,5,Vendas,Analista Pleno,3
4,Ezequiel Edivaldo de Medeiros Sonao,Masculino,24,Pardo,48010 Wilson Glen Apt. 749; Smithborough; NV 00864,Ensino Superior,Tocantins,4,Administrativo,Gerente,2
5,Fagner Josiel dos Santos,Masculino,21,Pardo,8666 Ramos Ports Apt. 070; Sandraport; MN 33570,Ensino Superior,Ceará,5,Recursos Humanos,Analista Júnior,1
6,Magali Luzimara da Silva,Feminino,49,Pardo,073 Padilla Dam; Port Joshualand; MA 65043,Ensino Superior,São Paulo,3,Contabilidade,Analista Pleno,4
7,Victor Plínio Shufrouze,Masculino,29,Pardo,112 Rose Corners; Stanleyberg; IA 13588,Pós Graduação,Ceará,9,Compras,Analista Sênior,2
8,Laércio Rossi,Masculino,35,Pardo,508 Sean Road Apt. 754; West Thomaschester; AL 12134,Ensino Superior,Rondônia,8,Operações,Analista Júnior,2
9,Francisco Ângelo de Toledo Seixas,Masculino,40,Pardo,9762 Goodwin Plain Apt. 560; Schroedershire; PA 83138,Mestrado,Amapá,1,Administrativo,Analista Pleno,3
10,Fabrício Rangel de Gonçalves dos Santos,Masculino,33,Pardo,4979 Dana Station Apt. 126; Michellefurt; HI 22198,Ensino Superior,Minas Gerais,3,Desenvolvimento de Produtos,Analista Pleno,3
11,Laila da Silva,Feminino,54,Pardo,0381 Cindy Common; Amberfurt; LA 23470,Pós Graduação,São Paulo,5,Recursos Humanos,Analista Sênior,4
12,Nivaldo Ademar Valverde dos Santos,Masculino,34,Pardo,299 Rebecca Tunnel Apt. 706; Priceside; NC 29650,Mestrado,Acre,3,Administrativo,Analista Júnior,3
14,Eulália Brasil de Bezerra,Feminino,35,Preto,9490 Smith Corners Apt. 757; Mooreport; NE 79040,Doutorado,Roraima,6,Contabilidade,Analista Júnior,2
16,César da Paraíba,Masculino,37,Branco,9111 Catherine Ferry; Stephanieview; KY 14356,Mestrado,São Paulo,8,Desenvolvimento de Produtos,Analista Júnior,2
17,Toninho Nivaldo Siato,Masculino,29,Branco,183 Kristy Crossroad; Port Isaacfort; NJ 46207,Pós Graduação,Roraima,3,Administrativo,Analista Sênior,2
18,Fabiano Táles Negrão,Masculino,38,Pardo,20953 Aaron Light; North Veronica; MP 92602,Doutorado,Minas Gerais,3,Administrativo,Analista Sênior,3
20,Álvaro Cristiano Schmidt,Masculino,41,Pardo,850 Christine Parkway Suite 615; New Gerald; WI 70157,Ensino Superior,Paraná,5,Administrativo,Analista Júnior,3
21,Arthur Uckimovic Júnior,Masculino,46,Branco,4311 Johnson Cliff Apt. 940; West Valeriefurt; NC 40705,Ensino Superior,Santa Catarina,3,Recursos Humanos,Analista Pleno,4
22,Emílio Bahia,Masculino,49,Pardo,Unit 7349 Box 0930; DPO AE 66646,Doutorado,Acre,6,Contabilidade,Estagiário,4
23,Mariano de Angola Onmmylte Neto,Masculino,26,Pardo,PSC 5733; Box 2148; APO AA 45875,Ensino Superior,Bahia,8,Vendas,Analista Júnior,1
24,Milton Eugênio Shetum de Figueira,Masculino,31,Branco,363 Stephens Lakes; South Kaylee; FL 19378,Ensino Médio,Amazonas,0,Operações,Estagiário,3
25,Ricardo Diogo da Luz Nile Neto,Masculino,29,Branco,8463 Mike Mews Suite 566; New Matthewbury; FM 65011,Ensino Superior,Piauí,7,Marketing,Analista Júnior,2
26,Aline de Uchôa,Feminino,31,Pardo,2523 Thomas Hollow Suite 146; East Robert; KS 57933,Ensino Superior,São Paulo,4,Contabilidade,Estagiário,2
27,Heloísa Laura Eala Aisvic,Feminino,35,Preto,10727 Ronald Ports Suite 185; South Josephmouth; NE 35245,Ensino Superior,São Paulo,5,Compras,Analista Júnior,3
28,Henrique Inácio Lussolson Tegego,Masculino,32,Branco,586 Novak Port Suite 474; South Shannon; DE 72454,Ensino Superior,Goiás,5,TI,Analista Sênior,2
29,Milene Thaís Aciz,Feminino,48,Preto,27666 Laura Rapids Apt. 387; Bartonbury; DC 19956,Ensino Superior,Rio de Janeiro,3,Administrativo,Gerente,4
30,Patrícia de Miranda Xizu,Feminino,29,Branco,86187 Mcdonald Path; Hicksville; PA 91032,Ensino Superior,Paraná,0,Administrativo,Gerente,2
32,Rafaela Paim do Amaral,Feminino,39,Pardo,3776 Anna Road Apt. 381; North Krystaltown; WV 12500,Mestrado,Paraná,4,Recursos Humanos,Gerente,3
35,Yuri Góis Dutra,Masculino,44,Branco,42251 Downs Land Apt. 050; Medinaton; LA 83729,Ensino Superior,Pernambuco,4,Operações,Gerente,4
36,Edson Felipe Ieldi Girru,Masculino,47,Pardo,99955 Dennis Rest; North Michael; IN 65588,Ensino Superior,Ceará,2,Administrativo,Estagiário,4
37,Ali Túlio de Miranda,Masculino,33,Branco,3257 Susan Shores; Ashleychester; VA 83465,Ensino Superior,Ceará,4,Compras,Analista Pleno,2
38,Ayrton Ricardo do Espírito Santo Gomes,Masculino,31,Pardo,9406 Steele Camp Suite 614; Craigton; CA 14281,Ensino Superior,Tocantins,6,Desenvolvimento de Produtos,Analista Pleno,2
